2和暦,3西暦コード,4タイトル,5版種類,6数量,7書誌事項,8形態分類,9内容分類,10地名,12目録番号,16所蔵機関（名称）,年号,閏,月,日
文久2?年,18620199099,紅粉所引札,木版,１枚,9.5×9.5　字かすれてよめず,Ｗ,7,江戸,16-A00-6010-5-183,東京大学総合図書館-A00-6010-5-183,文久２？,,,
文久2?年,18620199099,〔浅草田原町３丁目太平堂伊勢大掾東菓子引札〕,木版,１枚,4.0×3.0,Ｗ,7,江戸,16-A00-6010-5-184,東京大学総合図書館-A00-6010-5-184,文久２？,,,
文久2?年,18620199099,〔筋違御門外船橋屋織江菓子司引札〕,木版,１枚,3.5×3.1,Ｗ,7,江戸,16-A00-6010-5-185,東京大学総合図書館-A00-6010-5-185,文久２？,,,
文久2?年,18620199099,〔芝神明前花露屋紅梅香引札〕,木版,１枚,3.3×3.3,Ｗ,7,江戸,16-A00-6010-5-186,東京大学総合図書館-A00-6010-5-186,文久２？,,,
明治1年,18680099099,〔東京南鍋町１丁目新井屋直次郎小間物類引札〕,木版,１枚,11.5×11.7,Ｗ,7,江戸,16-A00-6010-5-187,東京大学総合図書館-A00-6010-5-187,明治１,,,
文久2?年,18620199099,座禅豆引札,木版,１枚,6.0×3.8　浅草御蔵前茅町２丁目玉木屋七郎右衛門,Ｗ,7,江戸,16-A00-6010-5-188,東京大学総合図書館-A00-6010-5-188,文久２？,,,
文久2?年,18620199099,〔浅草田町２丁目粉屋引札〕,木版,１枚,5.0×3.5,Ｗ,7,江戸,16-A00-6010-5-189,東京大学総合図書館-A00-6010-5-189,文久２？,,,
文久2?年,18620199099,〔神田須田町２丁目長岡久左衛門小町細工染砂紅問屋引札〕,木版,１枚,11.7×10.9,Ｗ,7,江戸,16-A00-6010-5-190,東京大学総合図書館-A00-6010-5-190,文久２？,,,
明治2年11月,18690011099,〔大垣藩預所濃州不破郡塩田村年貢納入書〕,写本,１枚,26.2×7.6,,6,美濃,16-A00-6010-5-191,東京大学総合図書館-A00-6010-5-191,明治２,,11,
明治2年11月,18690011099,〔大垣藩預所濃州本巣郡下本田村年貢納入書〕,写本,１枚,24.1×8.6,,6,美濃,16-A00-6010-5-192,東京大学総合図書館-A00-6010-5-192,明治２,,11,
明治3年閏10月6日,18700010506,古器物書画展観案内,木版,１枚,16.6×9.3　高木法古・友田文魁、於向島三囲社,Ｗ,10,東京,16-A00-6010-5-193,東京大学総合図書館-A00-6010-5-193,明治３,閏,閏１０,6
文久2?年,18620199099,〔浅草駒形川升受領証〕,木版,１枚,22.5×8.8　摺物になっていて、金額のみ書き入れるもの、「２歩と４５０文御料理代」とあり,,7,江戸,16-A00-6010-5-194,東京大学総合図書館-A00-6010-5-194,文久２？,,,
文久2?年,18620199099,つくだに・三色しそ巻・唐がらし引札,木版,１枚,22.8×13.0　筋違御門外加賀原か□さき製,Ｗ,7,江戸,16-A00-6010-5-195,東京大学総合図書館-A00-6010-5-195,文久２？,,,
明治1?年,18680199099,〔江戸橋四日市丸屋市兵衛唐物類引札〕,木版,１枚,15.2×10.6,Ｗ,7,東京,16-A00-6010-5-196,東京大学総合図書館-A00-6010-5-196,明治１？,,,
文久2?年,18620199099,紅梅香引札,木版,１枚,9.0×9.0　東都芝神明前花露屋製、極製香具伽羅御油,Ｗ,7,東京,16-A00-6010-5-197,東京大学総合図書館-A00-6010-5-197,文久２？,,,
文久2?年,18620199099,〔三河町１丁目吉野屋太兵衛酒醤油引札〕,木版,１枚,22.2×29.0,Ｗ,7,江戸,16-A00-6010-5-198,東京大学総合図書館-A00-6010-5-198,文久２？,,,
文久2?年,18620199099,〔馬喰町２丁目角宝善堂丸屋徳造書物地本東錦絵問屋引札〕,木版,１枚,23.2×15.5,Ｗ,7,江戸,16-A00-6010-5-199,東京大学総合図書館-A00-6010-5-199,文久２？,,,
文久2?年,18620199099,〔四ッ谷伝馬町３丁目伊勢屋久兵衛東錦絵品々引札〕,木版,１枚,22.4×16.0,Ｗ,7,江戸,16-A00-6010-5-200,東京大学総合図書館-A00-6010-5-200,文久２？,,,
文久2?年,18620199099,御伽羅之油白粉所引札,木版,１枚,20.4×13.7　人形町通り喜久寿和三郎（駒形百助出店）,Ｗ,7,江戸,16-A00-6010-5-201,東京大学総合図書館-A00-6010-5-201,文久２？,,,
文久2?年,18620199099,〔江戸神田三河町１丁目横町万屋常吉地下リ雪踏傘下駄足駄引札〕,木版,１枚,23.5×15.0,Ｗ,7,江戸,16-A00-6010-5-202,東京大学総合図書館-A00-6010-5-202,文久２？,,,
文久2?年,18620199099,〔浅草雷神門前大坂屋留次郎雪踏類引札〕,木版,１枚,24.3×15.0,Ｗ,7,江戸,16-A00-6010-5-203,東京大学総合図書館-A00-6010-5-203,文久２？,,,
文久2?年,18620199099,新形地染手拭所引札,木版,１枚,22.1×15.0　江戸浅草茅町２丁目美根屋伴七,Ｗ,7,江戸,16-A00-6010-5-204,東京大学総合図書館-A00-6010-5-204,文久２？,,,
文久2?年,18620199099,〔日本橋通１丁目万屋孫兵衛東錦絵引札〕,木版,１枚,23.4×15.5　「御進物箱入にしき絵るゐ御好次第」とあり,Ｗ,7,江戸,16-A00-6010-5-205,東京大学総合図書館-A00-6010-5-205,文久２？,,,
文久2?年,18620199099,〔江戸橋四日市玉潤堂甲州屋新右衛門眼鏡諸国名石細工所引札〕,木版,１枚,24.5×15.0,Ｗ,7,江戸,16-A00-6010-6-1,東京大学総合図書館-A00-6010-6-1,文久２？,,,
文久2?年,18620199099,〔江戸浅草茅町２丁目美根屋伴七新形地染手拭所引札〕,木版,１枚,23.5×16.0,Ｗ,7,江戸,16-A00-6010-6-2,東京大学総合図書館-A00-6010-6-2,文久２？,,,
文久2?年,18620199099,〔麹町３丁目寿美屋平右衛門瀬戸焼引札〕,木版,１枚,24.5×15.5,Ｗ,7,江戸,16-A00-6010-6-3,東京大学総合図書館-A00-6010-6-3,文久２？,,,
文久2?年,18620199099,〔上野池之端仲町通り祥錦堂上州屋金蔵地本絵草紙問屋引札〕,木版,１枚,23.0×15.0,Ｗ,7,江戸,16-A00-6010-6-4,東京大学総合図書館-A00-6010-6-4,文久２？,,,
文久2?年,18620199099,〔本石町３丁目伊勢屋喜三郎唐木箸引札〕,木版,１枚,21.5×14.5,Ｗ,7,江戸,16-A00-6010-6-5,東京大学総合図書館-A00-6010-6-5,文久２？,,,
文久2?年,18620199099,〔江戸麹町４丁目白川屋小兵衛唐物類引札〕,木版,１枚,22.5×15.0　金巾８種類の銘柄あり,Ｗ,7,江戸,16-A00-6010-6-6,東京大学総合図書館-A00-6010-6-6,文久２？,,,
文久2?年,18620199099,〔芝神明前伊勢屋吉右衛門書簡袋卸引札〕,木版,１枚,23.0×15.0　「紙子所」とあり,,,不明,16-A00-6010-6-7,東京大学総合図書館-A00-6010-6-7,文久２？,,,
文久2?年,18620199099,〔神田柳原請負新地玉林堂彦八書物御経仕立所引札〕,木版,１枚,22.7×15.2,Ｗ,7,江戸,16-A00-6010-6-8,東京大学総合図書館-A00-6010-6-8,文久２？,,,
文久2?年,18620199099,〔御蔵前片町天王橋詰西がわふじや豊吉ギヤマン油画額面細工所引札〕,木版,１枚,21.8×14.0　ギヤマン板類、かんだんけい、ギヤマン細工物、こつぶ盃、ギヤマンかん徳利、オランダ老若眼鏡、オランダびんるい、硝子類,Ｗ,7,江戸,16-A00-6010-6-9,東京大学総合図書館-A00-6010-6-9,文久２？,,,
文久2?年,18620199099,万国産物所引札,木版,１枚,23.0×15.0　毛類・端物・珍器、山下御門通南鍋町岩上屋平六、芝神明前同店与四郎、筋違御門柳原稲荷河岸向同店治兵衛,Ｗ,7,江戸,16-A00-6010-6-10,東京大学総合図書館-A00-6010-6-10,文久２？,,,
文久2?年,18620199099,〔浅草広小路角屋慶次郎腹掛股引所引札〕,木版,１枚,23.5×15.0　手甲脚半大安売,Ｗ,7,江戸,16-A00-6010-6-11,東京大学総合図書館-A00-6010-6-11,文久２？,,,
文久2?年,18620199099,〔照降町桑田屋佐兵衛雪駄傘下駄安売引札〕,木版,１枚,24.5×14.5,Ｗ,7,江戸,16-A00-6010-6-12,東京大学総合図書館-A00-6010-6-12,文久２？,,,
文久2?年,18620199099,〔江戸本町１丁目北側中程ますみ屋三右衛門諸きれ品々大安売引札〕,木版,１枚,24.5×14.0,Ｗ,7,江戸,16-A00-6010-6-13,東京大学総合図書館-A00-6010-6-13,文久２？,,,
文久2?年,18620199099,〔浅草地内伝法院前万屋和助手傘せつた下駄足駄引札〕,木版,１枚,24.0×14.5,Ｗ,7,江戸,16-A00-6010-6-14,東京大学総合図書館-A00-6010-6-14,文久２？,,,
文久2?年,18620199099,〔上州吉井中野屋孫二郎女作火打引札〕,木版,１枚,22.5×14.5　売弘所久保町原定見世中野屋勝次郎,Ｗ,7,江戸・上野,16-A00-6010-6-15,東京大学総合図書館-A00-6010-6-15,文久２？,,,
文久2?年,18620199099,〔四谷伝馬１丁目越後屋重助小間物卸引札〕,木版,１枚,21.5×14.5,Ｗ,7,江戸,16-A00-6010-6-16,東京大学総合図書館-A00-6010-6-16,文久２？,,,
文久2?年,18620199099,家造各色筆墨摺本定価,木版,１枚,24.0×15.0　東都湯島天神女坂下鳳管斎綏之謹誌、筆、墨銘、摺本,Ｗ,7,江戸,16-A00-6010-6-17,東京大学総合図書館-A00-6010-6-17,文久２？,,,
文久2?年,18620199099,〔江戸橋四日市塚口屋利右衛門唐物類引札〕,木版,１枚,22.5×15.0,Ｗ,7,江戸,16-A00-6010-6-18,東京大学総合図書館-A00-6010-6-18,文久２？,,,
文久2?年,18620199099,御定紋福紗引札,木版,１枚,24.5×15.0　江戸ばし柳多屋清七,Ｗ,7,江戸,16-A00-6010-6-19,東京大学総合図書館-A00-6010-6-19,文久２？,,,
慶応3?年,18670199099,〔通本石町２丁目鏡師津田薩摩引札〕,木版,１枚,23.0×30.0　品物の中に目鏡、うつしゑ目鏡、顕微鏡、写真鏡、磁石、分見道具、硝子時計蓋とあり,Ｗ,7,江戸,16-A00-6010-6-20,東京大学総合図書館-A00-6010-6-20,慶応３？,,,
文久2?年,18620199099,〔神田龍閑橋角近江屋幸助足袋股引類引札〕,木版,１枚,22.6×15.0,Ｗ,7,江戸,16-A00-6010-6-21,東京大学総合図書館-A00-6010-6-21,文久２？,,,
文久2?年,18620199099,〔四谷伝馬町新１丁目角山本屋清兵衛錦絵類引札〕,木版,１枚,24.0×15.5,Ｗ,7,江戸,16-A00-6010-6-22,東京大学総合図書館-A00-6010-6-22,文久２？,,,
文久2?年,18620199099,〔今川橋藤田屋清右衛門瀬戸物大安売引札〕,木版,１枚,21.0×14.0,Ｗ,7,江戸,16-A00-6010-6-23,東京大学総合図書館-A00-6010-6-23,文久２？,,,
文久2?年,18620199099,〔東叡山下谷上野町登嶋屋弥三郎金物引札〕,木版,１枚,23.2×15.0,Ｗ,7,江戸,16-A00-6010-6-24,東京大学総合図書館-A00-6010-6-24,文久２？,,,
文久2?年,18620199099,〔芝神明前文玉堂高嶋久次郎諸国名石硯細工引札〕,木版,１枚,22.0×14.0　甲州雨畑石、若州鳳足石、作州高田石、丹州石王寺石、長州赤間石、奥州正法寺石、江州□□石,Ｗ,7,江戸,16-A00-6010-6-25,東京大学総合図書館-A00-6010-6-25,文久２？,,,
文久2?年,18620199099,〔江戸芝神明前大和屋惣兵衛毛物類唐物大安売引札〕,木版,１枚,24.0×13.0,Ｗ,7,江戸,16-A00-6010-6-26,東京大学総合図書館-A00-6010-6-26,文久２？,,,
文久2?年,18620199099,〔横浜弁天通３丁目御泊宿鹿嶋屋清七引札〕,木版,１枚,24.0×11.0,Ｗ,7,横浜,16-A00-6010-6-27,東京大学総合図書館-A00-6010-6-27,文久２？,,,
慶応1年12月,18650012099,〔江川太郎左衛門代官所駿州富士郡今井村年貢納入書〕,写本,１枚,26.5×9.0,,6,駿河,16-A00-6010-6-28,東京大学総合図書館-A00-6010-6-28,慶応１,,12,
文久2?年,18620199099,〔本郷天沢寺前玉屋熊吉受領書式摺物〕,木版,１枚,24.5×11.0,,7,江戸,16-A00-6010-6-29,東京大学総合図書館-A00-6010-6-29,文久２？,,,
文久2?年,18620199099,新浅草海苔引札,木版,１枚,24.0×11.5　浅草雷神門前若松屋粂蔵,Ｗ,7,江戸,16-A00-6010-6-30,東京大学総合図書館-A00-6010-6-30,文久２？,,,
文久2?年,18620199099,鉛華元祖本方伝来雪水さらし雲井菊引札,木版,１枚,18.0×18.0　おしろい、麹町３丁目寿々喜治兵衛製,Ｗ,7,江戸,16-A00-6010-6-31,東京大学総合図書館-A00-6010-6-31,文久２？,,,
文久2?年,18620199099,〔市ヶ谷田町下２丁目福永屋本店古着引札〕,木版,１枚,20.5×11.5,Ｗ,7,江戸,16-A00-6010-6-32,東京大学総合図書館-A00-6010-6-32,文久２？,,,
文久1?年,18610199099,種痘案内書,木版,１枚,24.5×10.8　広小路通り大津町西え入処閑所種痘所、引受伊藤圭介,Ｗ,3,尾張,16-A00-6010-6-33,東京大学総合図書館-A00-6010-6-33,文久１？,,,
慶応3?年,18670199099,〔江戸芝神明三島町小山清兵衛目鏡類引札〕,木版,１枚,23.5×10.0　目鏡、コップ、薬瓶、けんび鏡、写真鏡、寒暖計、磁石,Ｗ,7,江戸,16-A00-6010-6-34,東京大学総合図書館-A00-6010-6-34,慶応３？,,,
慶応1年10月,18650010099,〔佐々井半十郎代官所武州埼玉郡八条領上馬場村巳年貢納入書〕,写本,１枚,24.0×11.5,,6,武蔵,16-A00-6010-6-35,東京大学総合図書館-A00-6010-6-35,慶応１,,10,
文久2?年,18620199099,〔江戸芝神明前唐物商大和屋惣兵衛請取書〕,写本,１枚,24.5×15.2　「正月２２日」とあり、但し住所氏名は押印,,7,江戸,16-A00-6010-6-36,東京大学総合図書館-A00-6010-6-36,文久２？,,,
文久2?年,18620199099,〔浅草諏訪町甲州屋庄兵衛常滑焼物類引札〕,木版,２枚,22.0×14.0,Ｗ,7,江戸,16-A00-6010-6-37,東京大学総合図書館-A00-6010-6-37,文久２？,,,
文久2?年,18620199099,〔江戸芝神明前宇田川町三河屋重兵衛東錦絵おろし引札〕,木版,１枚,20.5×13.5,Ｗ,7,江戸,16-A00-6010-6-38,東京大学総合図書館-A00-6010-6-38,文久２？,,,
文久2?年,18620199099,野しずし引札,木版,１枚,22.0×14.5,Ｗ,7,江戸,16-A00-6010-6-39,東京大学総合図書館-A00-6010-6-39,文久２？,,,
文久2?年,18620199099,〔江戸芝神明前大和屋惣兵衛毛織物類唐物大安売引札〕,木版,１枚,24.5×14.5,Ｗ,7,江戸,16-A00-6010-6-40,東京大学総合図書館-A00-6010-6-40,文久２？,,,
文久2?年,18620199099,〔江戸京橋南伝馬町１丁目稲屋清兵衛万糸細工物引札〕,木版,１枚,22.3×14.5,Ｗ,7,江戸,16-A00-6010-6-41,東京大学総合図書館-A00-6010-6-41,文久２？,,,
文久2?年,18620199099,〔金物引札〕,木版,１枚,23.0×15.0　品名のみの記載、真鍮、赤銅、釘鍋釜、庖丁、小刀、剃刀鍵類、毛ぬき、小鉄物、筆にてなにかの受取を記している,Ｗ,7,江戸,16-A00-6010-6-42,東京大学総合図書館-A00-6010-6-42,文久２？,,,
文久2?年,18620199099,〔浅草御蔵前瓦町円泰堂森本順三郎地本錦絵問屋引札〕,木版,１枚,19.0×14.5　屋号印なし,Ｗ,7,江戸,16-A00-6010-6-43,東京大学総合図書館-A00-6010-6-43,文久２？,,,
文久2?年,18620199099,しほせんべい引札,木版,１枚,21.0×14.5　なには（難波）町ゑちぜんや（越前屋）,Ｗ,7,江戸,16-A00-6010-6-44,東京大学総合図書館-A00-6010-6-44,文久２？,,,
文久2?年,18620199099,〔真綿引札〕,木版,１枚,19.0×15.5　産地名あり、屋号印は井桁三字印,Ｗ,7,江戸,16-A00-6010-6-45,東京大学総合図書館-A00-6010-6-45,文久２？,,,
明治2年,18690099099,〔兵庫県支配所播州多可郡清水村当巳租税米納入書〕,写本,１枚,23.5×8.5,,6,播磨,16-A00-6010-6-46,東京大学総合図書館-A00-6010-6-46,明治２,,,
慶応1年10月7日,18650010007,〔長崎会所請取書〕,木版,１枚,24.5×11.5　摺物となっている、筆にて「商業金焼之書一部一冊、金１両２分」、「草木育方之書一部一冊、金３分３朱」とあり,,10,肥前・江戸,16-A00-6010-6-47,東京大学総合図書館-A00-6010-6-47,慶応１,,10,7
慶応1年6月28日,18650006028,〔長崎会所請取書〕,木版,１枚,23.5×11.5　摺物となっている、筆にて草本書１冊（１両）、物産書１冊（１分２朱）、地理書１冊（２両２分２朱）とあり,,10,肥前・江戸,16-A00-6010-6-48,東京大学総合図書館-A00-6010-6-48,慶応１,,6,28
文久2?年,18620199099,〔印判師金子井兵衛受取書〕,写本,１枚,24.5×11.5　５月２８日田中芳男様宛、御印判壱組１５匁とあり、「日本橋四日市広小路御印判師金子井兵衛、俳諧点式金銀石印彫刻」と押印あり,,7,江戸,16-A00-6010-6-49,東京大学総合図書館-A00-6010-6-49,文久２？,,,
慶応2年10月14日,18660010014,〔三河屋次郎兵衛受取書〕,木版,１枚,24.5×8.5　すみ１俵１貫１１０文と墨書あり,,7,江戸,16-A00-6010-6-50,東京大学総合図書館-A00-6010-6-50,慶応２,,10,14
文久2?年,18620199099,〔勝元喜右衛門受取書〕,木版,１枚,24.0×10.5　御誂の焼印１本３朱、６月４日と墨書あり、「神田鍛冶町２丁目勝元喜右衛門」と押印あり,,7,江戸,16-A00-6010-6-51,東京大学総合図書館-A00-6010-6-51,文久２？,,,
慶応1年7月24日,18650007024,〔長崎会所受取書〕,木版,１枚,24.0×11.5　羊育方書１冊３分、草木培養書１冊１両３分、同１冊１両１分２朱と墨書あり,,10,江戸・肥前,16-A00-6010-6-52,東京大学総合図書館-A00-6010-6-52,慶応１,,7,24
文久2?年,18620199099,〔某品代金受取書〕,写本,１枚,25.0×8.0　３分２朱３５０文、１０月２０日と墨書あり、受取人の押印あれどもかすれて判読できず,,7,江戸,16-A00-6010-6-53,東京大学総合図書館-A00-6010-6-53,文久２？,,,
文久2?年,18620199099,〔青柳新三郎受取書〕,木版,１枚,24.7×11.2　「１２月７日金５両御預かり申候」と墨書あり、御料理と摺られてあり、「東両国駒止橋青柳」と押印あり,,7,江戸,16-A00-6010-6-54,東京大学総合図書館-A00-6010-6-54,文久２？,,,
文久2?年,18620199099,〔青柳新三郎受取書〕,木版,１枚,25.0×11.5　１２月８日６１８匁５分、１１両２分１朱１１２文、「船ちんまちとも」と墨書あり、御料理と摺られてあり、「東両国駒止橋青柳」と押印あり,,7,江戸,16-A00-6010-6-55,東京大学総合図書館-A00-6010-6-55,文久２？,,,
文久2?年,18620199099,〔丸屋治郎兵衛受取書〕,写本,１枚,24.0×8.5　２分、１２月７日と墨書あり、「日本橋室町１丁目塩干肴問屋かつをぶし丸屋治郎兵衛」と押印あり,,7,江戸,16-A00-6010-6-56,東京大学総合図書館-A00-6010-6-56,文久２？,,,
文久2?年,18620199099,〔伊勢屋久五郎受取書〕,木版,１枚,24.0×11.5　１０月晦日、３朱２８０文と墨書あり、「市ヶ谷谷町醤油屋伊勢屋久五郎」と押印あり,,7,江戸,16-A00-6010-6-57,東京大学総合図書館-A00-6010-6-57,文久２？,,,
文久3年2月18日,18630002018,〔長崎会所受取書〕,写本,１枚,24.8×14.5　九ノ三カラームル１冊、金１分２朱、亥２月１８日と墨書あり,,10,江戸・肥前,16-A00-6010-6-58,東京大学総合図書館-A00-6010-6-58,文久３,,2,18
文久2年5月20日,18620005020,〔定日御用御飛脚所受取書〕,木版,１枚,23.0×8.0　（江戸宛荷）６３９文と墨書あり,,7,尾張？,16-A00-6010-6-59,東京大学総合図書館-A00-6010-6-59,文久２,,5,20
慶応2年10月24日,18660010024,〔三河屋次郎兵衛受取書〕,木版,１枚,25.0×8.5　１両と墨書あり,,7,江戸,16-A00-6010-6-60,東京大学総合図書館-A00-6010-6-60,慶応２,,10,24
慶応1年12月,18650012099,〔小笠原甫三郎代官所甲州巨摩郡上小河原村当丑年貢納入書〕,写本,１枚,31.5×10.0,,6,甲斐,16-A00-6010-6-61,東京大学総合図書館-A00-6010-6-61,慶応１,,12,
文久2?年,18620199099,〔御蔵前旅籠町２丁目美濃屋安五郎大工道具鉄物類引札〕,木版,１枚,22.0×15.0,Ｗ,7,江戸,16-A00-6010-6-62,東京大学総合図書館-A00-6010-6-62,文久２？,,,
文久2?年,18620199099,〔懐爐使用法書付〕,木版,１枚,15.5×15.0,Ｗ,7,江戸,16-A00-6010-6-63,東京大学総合図書館-A00-6010-6-63,文久２？,,,
文久2?年,18620199099,独流東竈角田川焼引札,木版,１枚,23.5×15.5,Ｗ,7,江戸,16-A00-6010-6-64,東京大学総合図書館-A00-6010-6-64,文久２？,,,
文久2?年,18620199099,〔江都神田柳原籾蔵跡新地森屋彦八万年紙仕立所書物御経仕立所引札〕,木版,１枚,21.5×29.7,Ｗ,7,江戸,16-A00-6010-6-65,東京大学総合図書館-A00-6010-6-65,文久２？,,,
文久2?年,18620199099,歌仙の名酒引札,木版,１枚,24.0×31.0　伊予国今治製江戸売弘店本町２丁目北側松屋広瀬、酒の銘柄列挙してあり、また「別て口演書以申上候」の一書（15.8×13.0）あり,Ｗ,7,江戸・伊予,16-A00-6010-6-66,東京大学総合図書館-A00-6010-6-66,文久２？,,,
文久2?年,18620199099,〔元飯田町魚屋栄蔵すし引札〕,木版,１枚,23.2×30.5　御膳よしのすし、卯の花ちらしすし、重詰・折詰、桶すし,Ｗ,7,江戸,16-A00-6010-6-67,東京大学総合図書館-A00-6010-6-67,文久２？,,,
文久2?年,18620199099,諸先生用筆各種定価,木版,１枚,22.5×29.0　東都湯島天神女坂下心正堂製、鳳管斎綏之、筆の品名列挙してあり,Ｗ,7,江戸,16-A00-6010-6-68,東京大学総合図書館-A00-6010-6-68,文久２？,,,
文久2?年,18620199099,〔横浜本町３丁目南側金吉屋庄兵衛唐物及び異国人持渡り諸品引札〕,木版,１枚,24.5×30.7　中に「時計并ヲルコヲル」もあり,Ｗ,7,横浜,16-A00-6010-6-69,東京大学総合図書館-A00-6010-6-69,文久２？,,,
文久2?年,18620199099,〔横山町３丁目角松屋幸助雪踏大安売引札〕,木版,１枚,22.2×28.5,Ｗ,7,江戸,16-A00-6010-6-70,東京大学総合図書館-A00-6010-6-70,文久２？,,,
文久2?年,18620199099,〔市ヶ谷八幡町大和屋伝治郎せつた類引札〕,木版,１枚,22.5×30.0,Ｗ,7,江戸,16-A00-6010-6-71,東京大学総合図書館-A00-6010-6-71,文久２？,,,
文久2?年,18620199099,〔下谷広徳寺前通り稲荷町１丁目松本治助蘭物唐物引札〕,木版,１枚,22.7×30.5,Ｗ,7,江戸,16-A00-6010-6-72,東京大学総合図書館-A00-6010-6-72,文久２？,,,
文久2?年,18620199099,〔元飯田町四方儀兵衛酒味淋醤油類引札〕,木版,１枚,24.5×31.5,Ｗ,7,江戸,16-A00-6010-6-73,東京大学総合図書館-A00-6010-6-73,文久２？,,,
文久2?年,18620199099,〔芝神明前伊勢屋吉右衛門紙子細工処引札〕,木版,１枚,23.3×30.5,Ｗ,7,江戸,16-A00-6010-6-74,東京大学総合図書館-A00-6010-6-74,文久２？,,,
文久2?年,18620199099,〔浅草御門跡前通橋際織屋治助雪踏類引札〕,木版,１枚,23.5×31.3,Ｗ,7,江戸,16-A00-6010-6-75,東京大学総合図書館-A00-6010-6-75,文久２？,,,
文久2年1月,18620001099,文久壬戌家塾月課詩文題,木版,１枚,23.5×31.5　尾張大観居士奥田淑撰、中に銭糧論、贈英学生序、読地球説略などあり,,10,尾張,16-A00-6010-6-76,東京大学総合図書館-A00-6010-6-76,文久２,,1,
文久2?年,18620199099,〔麹町４丁目北側白川屋小兵衛ギヤマン唐物類無双大安売引札〕,木版,１枚,24.0×31.5　別に口演（16.4×23.0）あり,Ｗ,7,江戸,16-A00-6010-6-77,東京大学総合図書館-A00-6010-6-77,文久２？,,,
文久2?年,18620199099,〔極上寒製撰午新草漉本改玉某品引札〕,木版,１枚,24.7×32.0　土佐須崎久礼助仕入とあり、鶴と竹林に虎の図あり,Ｗ,7,土佐,16-A00-6010-6-78,東京大学総合図書館-A00-6010-6-78,文久２？,,,
文久2?年,18620199099,雁皮紙目録,木版,１枚,24.2×31.5　芝宇田川大横町紙徳力屋平兵衛,Ｗ,7,江戸,16-A00-6010-6-79,東京大学総合図書館-A00-6010-6-79,文久２？,,,
文久2?年,18620199099,〔芝神明前宇田川町三河屋重兵衛東錦絵引札〕,木版,１枚,22.5×28.0,Ｗ,7,江戸,16-A00-6010-6-80,東京大学総合図書館-A00-6010-6-80,文久２？,,,
文久2?年,18620199099,〔江戸芝神明前三嶋町田中屋平右衛門大小脇差類引札〕,木版,１枚,23.7×31.0,Ｗ,7,江戸,16-A00-6010-6-81,東京大学総合図書館-A00-6010-6-81,文久２？,,,
文久2?年,18620199099,家伝元寿散虎狼痢之妙薬,木版,１枚,23.2×30.5　江戸本町１丁目伊勢屋長右衛門,Ｗ,3,江戸,16-A00-6010-6-82,東京大学総合図書館-A00-6010-6-82,文久２？,,,
慶応3?年,18670199099,〔江戸芝神明前三島町小山清兵衛目鏡細工玉細工阿蘭陀切子細工引札〕,木版,１枚,23.2×31.0　ランプの図あり、写真鏡とあり,Ｗ,7,江戸,16-A00-6010-6-83,東京大学総合図書館-A00-6010-6-83,慶応３？,,,
文久2?年,18620199099,およそ小児の病を見る事,木版,１枚,23.0×30.5　東叡山御用江戸本町３丁目斎川屋孫太郎,Ｗ,3,江戸,16-A00-6010-6-84,東京大学総合図書館-A00-6010-6-84,文久２？,,,
文久2?年,18620199099,〔京橋銀座１丁目吉田屋治兵衛酒安売引札〕,木版,１枚,22.5×30.0　１２月２３日とあり,Ｗ,7,江戸,16-A00-6010-6-85,東京大学総合図書館-A00-6010-6-85,文久２？,,,
文久3年,18630099099,〔てりふり町宮田忠蔵雪踏傘引札〕,木版,１枚,24.0×29.0,Ｗ,7,江戸,16-A00-6010-6-86,東京大学総合図書館-A00-6010-6-86,文久３,,,
文久2?年,18620199099,〔三河町１丁目煙草問屋高田屋吉兵衛引札〕,木版,１枚,23.2×29.5　タバコの銘柄列挙せり,Ｗ,7,江戸,16-A00-6010-6-87,東京大学総合図書館-A00-6010-6-87,文久２？,,,
文久2?年,18620199099,〔江戸本町４丁目角茶師松龍軒大橋太郎治郎銘茶一覧〕,木版,１枚,23.5×30.5　茶の銘柄一覧あり,Ｗ,7,江戸,16-A00-6010-6-88,東京大学総合図書館-A00-6010-6-88,文久２？,,,
文久2?年,18620199099,〔江戸通り塩町東側中程和物唐物蘭物硝子ギヤマン問屋加賀屋久兵衛引札〕,木版,１枚,24.2×31.5　諸品の図あり、「船明り窓ギヤマン」云々とあり,Ｗ,7,江戸,16-A00-6010-6-89,東京大学総合図書館-A00-6010-6-89,文久２？,,,
文久2?年,18620199099,〔麹町１３丁目武蔵屋安五郎雪踏傘類大安売引札〕,木版,１枚,24.3×29.0,Ｗ,7,江戸,16-A00-6010-6-90,東京大学総合図書館-A00-6010-6-90,文久２？,,,
文久2?年,18620199099,〔江戸芝神明前大和屋惣兵衛唐物安売引札〕,木版,１枚,23.2×32.5,Ｗ,7,江戸,16-A00-6010-6-91,東京大学総合図書館-A00-6010-6-91,文久２？,,,
文久2?年,18620199099,〔麹町３丁目南側中程雪踏問屋伊勢屋佐兵衛引札〕,木版,１枚,23.5×30.5,Ｗ,7,江戸,16-A00-6010-6-92,東京大学総合図書館-A00-6010-6-92,文久２？,,,
文久2?年,18620199099,〔神田通鍋町角茶盛軒森田製銘茶引札〕,木版,１枚,24.0×30.3,Ｗ,7,江戸,16-A00-6010-6-93,東京大学総合図書館-A00-6010-6-93,文久２？,,,
